X,Y,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags
77.152001,28.5336472,"248852583","ICICI, SBI, Citibank,",,,,,,,,"""amenity""=>""bank"",""atm""=>""yes"""
77.0875533,28.4509689,"249132373","Paras Hospital, Gurgaon",,,,,,,,"""addr:district""=>""Gurgaon"",""addr:full""=>""C-1, Sushant Lok Phase-1"",""addr:postcode""=>""122002"",""addr:state""=>""Haryana"",""amenity""=>""hospital"",""check_date""=>""2025-02-23"",""healthcare""=>""hospital"",""name:hi""=>""Paras Hospital зубной"""
77.102391,28.4400152,"249132375",HDFC Bank,,,,,,,,"""amenity""=>""bank"",""branch""=>""& ATM"",""brand""=>""HDFC Bank"",""brand:wikidata""=>""Q631047"",""short_name""=>""HDFC"""
77.0474903,28.4740435,"266376686",HSBC Bank,,,,,,,,"""amenity""=>""atm"",""covered""=>""yes"",""currency:INR""=>""yes"",""drive_through""=>""no"",""indoor""=>""yes"",""lit""=>""yes"",""wheelchair""=>""limited"",""wheelchair:description""=>""No lift. Ground floor is accessible."""
77.0475761,28.4740963,"266376703",HDFC Bank,,,,,,,,"""amenity""=>""atm"",""covered""=>""yes"",""currency:INR""=>""yes"",""drive_through""=>""no"",""indoor""=>""yes"",""lit""=>""yes"""
77.0481254,28.4730702,"266376782",Standard Chartered Bank,,,,,,,,"""amenity""=>""bank"""
77.047765,28.4742925,"266376824",,,,,,,,,"""amenity""=>""pharmacy"""
77.166546,28.5084497,"266378530",Heritage International School,,,,,,,,"""amenity""=>""school"""
77.1634819,28.5117155,"266378545",Deep Public School,,,,,,,,"""amenity""=>""school"""
77.0874735,28.4624078,"266435424",DLF Supermart 1,,,,,,,,"""check_date""=>""2025-02-23"",""shop""=>""supermarket"",""wheelchair""=>""yes"""
77.0448914,28.4758053,"266437720",ICICI Bank,,,,,,,,"""amenity""=>""bank"",""brand""=>""ICICI"",""brand:wikidata""=>""Q1653258"",""name:en""=>""ICICI Bank"",""short_name""=>""ICICI"",""website""=>""https://www.icicibank.com"",""wikidata""=>""Q1653258"",""wikipedia""=>""en:ICICI Bank"""
77.0450545,28.4760015,"266437737",HDFC Bank,,,,,,,,"""amenity""=>""bank"",""brand""=>""HDFC"",""brand:wikidata""=>""Q631047"",""short_name""=>""HDFC"",""website""=>""https://www.hdfcbank.com"""
77.0393347,28.4541495,"266439699",,,,,,,,,"""amenity""=>""pharmacy"",""healthcare""=>""pharmacy"""
77.1682153,28.5101062,"266442366",AXIS Bank,,,,,,,,"""amenity""=>""atm"",""brand""=>""Axis Bank"",""brand:wikidata""=>""Q2003549"",""operator""=>""Axis Bank"",""operator:wikidata""=>""Q2003549"""
77.1676347,28.5097958,"266442449",,,,,,,,,"""amenity""=>""pharmacy"""
77.164161,28.5583495,"266443204",Standard Chartered,,,,,,,,"""amenity""=>""bank"",""atm""=>""yes"",""brand""=>""Standard Chartered"",""brand:wikidata""=>""Q548278"",""brand:wikipedia""=>""en:Standard Chartered"""
