grid_id,cluster
9,1
10,1
11,0
12,0
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,0
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,3
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,0
158,1
159,1
160,1
161,1
162,1
163,0
164,0
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,0
186,3
187,1
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,0
213,1
214,1
215,1
216,0
217,1
218,1
219,0
220,1
221,1
222,0
223,0
224,0
225,0
226,0
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,0
250,3
251,1
252,0
253,1
254,1
255,3
256,2
257,0
258,1
259,1
260,0
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,0
280,0
281,1
282,1
283,1
284,1
285,1
286,3
287,0
288,0
289,0
290,0
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,0
304,1
305,1
306,1
307,0
308,0
309,0
310,1
311,1
312,1
313,0
314,1
315,1
316,3
317,0
318,1
319,0
320,0
321,0
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,0
334,1
335,1
336,1
337,0
338,0
339,0
340,1
341,1
342,0
343,1
344,0
345,0
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,1
369,0
370,1
371,3
372,3
373,0
374,0
375,3
376,0
377,1
378,1
379,1
380,0
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,0
400,0
401,0
402,0
403,0
404,0
405,2
406,0
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,1
438,1
439,0
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,3
463,0
464,3
465,0
466,0
467,3
468,1
469,0
470,0
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,0
493,3
494,0
495,0
496,0
497,0
498,0
499,3
500,0
501,1
502,0
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,0
522,0
523,0
524,0
525,1
526,0
527,0
528,0
529,0
530,3
531,3
532,0
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,0
553,0
554,0
555,3
556,1
557,0
558,3
559,3
560,2
561,3
562,0
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,0
581,0
582,3
583,0
584,3
585,3
586,2
587,3
588,3
589,0
590,2
591,2
592,3
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,0
609,0
610,2
611,0
612,3
613,3
614,1
615,0
616,0
617,3
618,3
619,3
620,3
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,0
636,1
637,0
638,3
639,3
640,2
641,3
642,2
643,2
644,3
645,0
646,0
647,3
648,0
649,0
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,0
665,0
666,0
667,0
668,0
669,3
670,2
671,0
672,2
673,0
674,0
675,3
676,0
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,0
696,1
697,0
698,0
699,3
700,3
701,0
702,0
703,0
704,0
705,3
706,0
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,0
